#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALG3	PMT2	4932.YBL082C	4932.YAL023C	0	0	0	0	0.111	0.532	0	0.438	0.746
ALG3	MNN10	4932.YBL082C	4932.YDR245W	0	0	0	0	0.050	0.124	0	0.370	0.429
ALG3	CAX4	4932.YBL082C	4932.YGR036C	0	0	0	0	0.049	0	0	0.429	0.434
ALG3	LAS21	4932.YBL082C	4932.YJL062W	0	0	0	0	0.071	0.207	0	0.297	0.436
ALG3	ERD1	4932.YBL082C	4932.YDR414C	0	0	0	0	0.057	0.138	0	0.471	0.532
ALG3	PMT1	4932.YBL082C	4932.YDL095W	0	0	0	0	0.078	0.514	0	0.117	0.570
ALG3	DFG5	4932.YBL082C	4932.YMR238W	0	0	0	0	0.047	0.627	0	0	0.629
ALG3	MNS1	4932.YBL082C	4932.YJR131W	0	0	0	0	0.067	0	0	0.650	0.660
ALG3	MNN1	4932.YBL082C	4932.YER001W	0	0	0	0	0.051	0.225	0	0.599	0.679
ALG3	GPI18	4932.YBL082C	4932.YBR004C	0	0	0	0	0	0	0.800	0.111	0.814
ALG3	OCH1	4932.YBL082C	4932.YGL038C	0	0	0	0	0	0.093	0	0.808	0.818
ALG3	OST6	4932.YBL082C	4932.YML019W	0	0	0	0	0.093	0.363	0	0.732	0.831
ALG3	ALG8	4932.YBL082C	4932.YOR067C	0	0	0	0	0.229	0.367	0	0.948	0.972
ALG3	ALG6	4932.YBL082C	4932.YOR002W	0	0	0	0	0.052	0.994	0.235	0.989	0.999
ALG6	PMT2	4932.YOR002W	4932.YAL023C	0	0	0	0	0.087	0.712	0	0.620	0.891
ALG6	GPI18	4932.YOR002W	4932.YBR004C	0	0	0	0	0.050	0.364	0	0.369	0.585
ALG6	MNN2	4932.YOR002W	4932.YBR015C	0	0	0	0	0.121	0.164	0	0.417	0.534
ALG6	PMT5	4932.YOR002W	4932.YDL093W	0	0	0	0	0.072	0	0	0.414	0.433
ALG6	PMT1	4932.YOR002W	4932.YDL095W	0	0	0	0	0.117	0.767	0	0.625	0.916
ALG6	OCH1	4932.YOR002W	4932.YGL038C	0	0	0	0	0.123	0	0	0.520	0.561
ALG6	CAX4	4932.YOR002W	4932.YGR036C	0	0	0	0	0.093	0.165	0	0.560	0.637
ALG6	LAS21	4932.YOR002W	4932.YJL062W	0	0	0	0	0.172	0.591	0	0.210	0.709
ALG6	MNN5	4932.YOR002W	4932.YJL186W	0	0	0	0	0.059	0	0	0.436	0.447
ALG6	PMT4	4932.YOR002W	4932.YJR143C	0	0	0	0	0.141	0	0	0.375	0.440
ALG6	OST6	4932.YOR002W	4932.YML019W	0	0	0	0	0.108	0.615	0	0.725	0.897
ALG6	VAN1	4932.YOR002W	4932.YML115C	0	0	0	0	0.123	0.135	0	0.521	0.605
ALG6	PMT3	4932.YOR002W	4932.YOR321W	0	0	0	0	0.090	0	0	0.398	0.429
ALG6	ALG8	4932.YOR002W	4932.YOR067C	0	0	0.182	0.616	0.440	0.995	0.925	0.784	0.999
ALG8	PMT2	4932.YOR067C	4932.YAL023C	0	0	0	0	0.126	0.405	0	0.457	0.693
ALG8	GPI18	4932.YOR067C	4932.YBR004C	0	0	0	0	0.081	0.234	0	0.349	0.501
ALG8	MNN2	4932.YOR067C	4932.YBR015C	0	0	0	0	0.109	0	0	0.449	0.488
ALG8	PMT5	4932.YOR067C	4932.YDL093W	0	0	0	0	0.104	0	0	0.420	0.458
ALG8	MNN10	4932.YOR067C	4932.YDR245W	0	0	0	0	0.097	0.207	0	0.612	0.697
ALG8	OCH1	4932.YOR067C	4932.YGL038C	0	0	0	0	0.122	0	0	0.372	0.425
ALG8	CAX4	4932.YOR067C	4932.YGR036C	0	0	0	0	0.121	0	0	0.365	0.418
ALG8	LAS21	4932.YOR067C	4932.YJL062W	0	0	0	0	0.209	0.499	0	0	0.587
ALG8	MNN11	4932.YOR067C	4932.YJL183W	0	0	0	0	0.167	0.079	0	0.517	0.597
ALG8	MNN5	4932.YOR067C	4932.YJL186W	0	0	0	0	0.092	0	0	0.513	0.539
ALG8	PMT4	4932.YOR067C	4932.YJR143C	0	0	0	0	0.214	0.164	0	0.402	0.573
ALG8	OST6	4932.YOR067C	4932.YML019W	0	0	0	0	0.099	0.727	0	0.656	0.908
ALG8	VAN1	4932.YOR067C	4932.YML115C	0	0	0	0	0.073	0.141	0	0.421	0.499
ALG8	MNN9	4932.YOR067C	4932.YPL050C	0	0	0	0	0.116	0	0	0.350	0.400
ALG8	PMT3	4932.YOR067C	4932.YOR321W	0	0	0	0	0.106	0	0	0.360	0.404
ANP1	PMT2	4932.YEL036C	4932.YAL023C	0	0	0	0	0.073	0	0.900	0.356	0.935
ANP1	GPI18	4932.YEL036C	4932.YBR004C	0	0	0	0	0.045	0	0.720	0	0.721
ANP1	MNN2	4932.YEL036C	4932.YBR015C	0	0	0	0	0.057	0.073	0.900	0.808	0.980
ANP1	PHO88	4932.YEL036C	4932.YBR106W	0	0	0	0	0.083	0.620	0	0	0.636
ANP1	KTR3	4932.YEL036C	4932.YBR205W	0	0	0	0	0.067	0	0	0.541	0.554
ANP1	YCR043C	4932.YEL036C	4932.YCR043C	0	0	0	0	0	0.784	0	0.086	0.794
ANP1	PMT5	4932.YEL036C	4932.YDL093W	0	0	0	0	0	0	0.900	0.115	0.907
ANP1	PMT1	4932.YEL036C	4932.YDL095W	0	0	0	0	0.082	0.101	0.900	0	0.910
ANP1	MNN10	4932.YEL036C	4932.YDR245W	0	0	0.265	0	0.112	0.711	0.900	0.994	0.999
ANP1	KRE2	4932.YEL036C	4932.YDR483W	0	0	0	0	0.070	0	0	0.702	0.711
ANP1	GNT1	4932.YEL036C	4932.YOR320C	0	0	0	0	0	0	0	0.408	0.408
ANP1	KTR1	4932.YEL036C	4932.YOR099W	0	0	0	0	0.062	0	0	0.400	0.413
ANP1	VRG4	4932.YEL036C	4932.YGL225W	0	0	0	0	0.081	0	0	0.400	0.425
ANP1	YUR1	4932.YEL036C	4932.YJL139C	0	0	0	0	0.055	0	0	0.453	0.461
ANP1	OLE1	4932.YEL036C	4932.YGL055W	0	0	0	0	0	0.497	0	0	0.497
ANP1	MNN4	4932.YEL036C	4932.YKL201C	0	0	0	0	0	0	0	0.510	0.510
ANP1	CAX4	4932.YEL036C	4932.YGR036C	0	0	0	0	0.058	0	0	0.511	0.519
ANP1	KTR7	4932.YEL036C	4932.YIL085C	0	0	0	0	0.064	0	0	0.522	0.533
ANP1	KTR6	4932.YEL036C	4932.YPL053C	0	0	0	0	0.055	0	0	0.539	0.546
ANP1	MNN5	4932.YEL036C	4932.YJL186W	0	0	0	0	0.072	0	0	0.695	0.704
ANP1	PGA1	4932.YEL036C	4932.YNL158W	0	0	0	0	0	0	0.720	0	0.720
ANP1	PMT4	4932.YEL036C	4932.YJR143C	0	0	0	0	0.066	0	0.720	0.090	0.741
ANP1	MNN1	4932.YEL036C	4932.YER001W	0	0	0	0	0.066	0.292	0	0.694	0.779
ANP1	OCH1	4932.YEL036C	4932.YGL038C	0	0	0	0	0.069	0	0.540	0.764	0.890
ANP1	PMT3	4932.YEL036C	4932.YOR321W	0	0	0	0	0	0	0.900	0	0.900
ANP1	VAN1	4932.YEL036C	4932.YML115C	0	0	0.088	0.904	0.059	0.287	0.900	0.509	0.964
ANP1	MNN9	4932.YEL036C	4932.YPL050C	0	0	0.138	0.802	0.148	0.853	0.900	0.844	0.998
ANP1	HOC1	4932.YEL036C	4932.YJR075W	0	0	0.207	0	0.082	0.798	0.900	0.983	0.999
ANP1	MNN11	4932.YEL036C	4932.YJL183W	0	0	0.243	0	0.152	0.829	0.900	0.979	0.999
CAX4	MNN10	4932.YGR036C	4932.YDR245W	0	0	0	0	0.084	0.161	0	0.535	0.611
CAX4	OCH1	4932.YGR036C	4932.YGL038C	0	0	0	0	0.283	0.063	0	0.458	0.604
CAX4	MNN9	4932.YGR036C	4932.YPL050C	0	0	0	0	0.096	0	0	0.380	0.415
CAX4	HOC1	4932.YGR036C	4932.YJR075W	0	0	0	0	0.046	0.270	0	0.526	0.641
CAX4	OST6	4932.YGR036C	4932.YML019W	0	0	0	0	0.055	0	0.900	0.603	0.959
DFG5	MNN10	4932.YMR238W	4932.YDR245W	0	0	0.370	0	0	0	0	0.149	0.441
DFG5	OCH1	4932.YMR238W	4932.YGL038C	0	0	0.223	0	0.046	0	0	0.610	0.685
DFG5	LAS21	4932.YMR238W	4932.YJL062W	0.045	0	0	0	0	0.199	0	0.359	0.466
DFG5	YUR1	4932.YMR238W	4932.YJL139C	0	0	0	0	0	0.619	0	0	0.619
DFG5	MNN11	4932.YMR238W	4932.YJL183W	0	0	0.364	0	0.066	0	0	0.117	0.430
DFG5	HOC1	4932.YMR238W	4932.YJR075W	0	0	0.248	0	0	0.124	0.253	0.135	0.517
DFG5	KTR6	4932.YMR238W	4932.YPL053C	0	0	0	0	0.081	0	0	0.384	0.409
ERD1	MNN2	4932.YDR414C	4932.YBR015C	0	0	0	0	0.086	0.360	0	0.184	0.480
ERD1	PMT1	4932.YDR414C	4932.YDL095W	0	0	0	0	0.067	0.421	0	0.173	0.514
ERD1	MNN10	4932.YDR414C	4932.YDR245W	0	0	0	0	0.146	0.166	0	0.536	0.640
ERD1	VPS74	4932.YDR414C	4932.YDR372C	0	0	0	0	0.090	0.370	0	0	0.402
ERD1	HOC1	4932.YDR414C	4932.YJR075W	0	0	0	0	0.060	0.421	0	0	0.433
ERD1	VAN1	4932.YDR414C	4932.YML115C	0	0	0	0	0.042	0	0	0.510	0.510
ERD1	OCH1	4932.YDR414C	4932.YGL038C	0	0	0	0	0.059	0.292	0	0.475	0.620
ERD1	MNN9	4932.YDR414C	4932.YPL050C	0	0	0	0	0.093	0	0	0.696	0.712
GNT1	MNN2	4932.YOR320C	4932.YBR015C	0	0	0	0	0.052	0	0	0.630	0.634
GNT1	MNN11	4932.YOR320C	4932.YJL183W	0	0	0	0	0.074	0.068	0	0.466	0.498
GNT1	MNS1	4932.YOR320C	4932.YJR131W	0	0	0	0	0.050	0	0	0.555	0.560
GNT1	MNT4	4932.YOR320C	4932.YNR059W	0	0	0	0	0	0	0	0.539	0.539
GNT1	MNN9	4932.YOR320C	4932.YPL050C	0	0	0	0	0.088	0	0	0.390	0.419
GPI11	GPI18	4932.YDR302W	4932.YBR004C	0	0	0	0	0.072	0.080	0	0.889	0.897
GPI11	PMT1	4932.YDR302W	4932.YDL095W	0	0	0	0	0.078	0.485	0	0	0.505
GPI11	LAS21	4932.YDR302W	4932.YJL062W	0	0	0	0	0.058	0.145	0.900	0.873	0.988
GPI18	PMT2	4932.YBR004C	4932.YAL023C	0.068	0	0	0	0	0	0.720	0.061	0.733
GPI18	OCH1	4932.YBR004C	4932.YGL038C	0	0	0	0	0.121	0	0.540	0	0.578
GPI18	LAS21	4932.YBR004C	4932.YJL062W	0	0	0	0	0.129	0.221	0	0.609	0.711
GPI18	MNN11	4932.YBR004C	4932.YJL183W	0	0	0	0	0	0	0.720	0	0.720
GPI18	MNN9	4932.YBR004C	4932.YPL050C	0	0	0	0	0.070	0	0.720	0	0.728
GPI18	PMT1	4932.YBR004C	4932.YDL095W	0.068	0	0	0	0.069	0	0.720	0.061	0.741
GPI18	MNN10	4932.YBR004C	4932.YDR245W	0	0	0	0	0.066	0.095	0.720	0	0.742
GPI18	PMT3	4932.YBR004C	4932.YOR321W	0.068	0	0	0	0	0	0.720	0.104	0.745
GPI18	PMT5	4932.YBR004C	4932.YDL093W	0.068	0	0	0	0	0	0.720	0.105	0.746
GPI18	VAN1	4932.YBR004C	4932.YML115C	0.045	0	0	0	0.101	0	0.720	0.106	0.756
GPI18	PMT4	4932.YBR004C	4932.YJR143C	0.068	0	0	0	0.053	0	0.720	0.145	0.760
GPI18	HOC1	4932.YBR004C	4932.YJR075W	0	0	0	0	0.050	0	0.720	0.423	0.833
GPI18	PGA1	4932.YBR004C	4932.YNL158W	0	0	0	0	0.049	0.617	0.720	0.872	0.985
HOC1	PMT2	4932.YJR075W	4932.YAL023C	0	0	0	0	0.081	0.071	0.900	0.246	0.927
HOC1	MNN2	4932.YJR075W	4932.YBR015C	0	0	0	0	0.065	0.457	0.900	0.769	0.986
HOC1	PHO88	4932.YJR075W	4932.YBR106W	0	0	0	0	0.083	0.677	0	0	0.691
HOC1	KTR3	4932.YJR075W	4932.YBR205W	0	0	0	0	0.081	0	0	0.637	0.653
HOC1	PMT5	4932.YJR075W	4932.YDL093W	0	0	0	0	0	0	0.900	0.112	0.907
HOC1	PMT1	4932.YJR075W	4932.YDL095W	0	0	0	0	0.065	0.205	0.900	0	0.919
HOC1	MNN10	4932.YJR075W	4932.YDR245W	0	0	0.251	0	0.077	0.785	0.900	0.978	0.999
HOC1	VPS74	4932.YJR075W	4932.YDR372C	0	0	0	0	0.068	0.493	0	0	0.507
HOC1	KRE2	4932.YJR075W	4932.YDR483W	0	0	0	0	0.124	0	0	0.696	0.722
HOC1	MNN1	4932.YJR075W	4932.YER001W	0.060	0	0	0	0.069	0	0	0.721	0.735
HOC1	OCH1	4932.YJR075W	4932.YGL038C	0	0	0.169	0.739	0.042	0.127	0.540	0.278	0.727
HOC1	VRG4	4932.YJR075W	4932.YGL225W	0	0	0	0	0.132	0	0	0.386	0.444
HOC1	MNN11	4932.YJR075W	4932.YJL183W	0	0	0.239	0	0.084	0.790	0.900	0.986	0.999
HOC1	MNN5	4932.YJR075W	4932.YJL186W	0	0	0	0	0.077	0	0	0.710	0.721
HOC1	MNN4	4932.YJR075W	4932.YKL201C	0	0	0	0	0	0.063	0	0.491	0.503
HOC1	KTR6	4932.YJR075W	4932.YPL053C	0	0	0	0	0.086	0	0	0.697	0.711
HOC1	PGA1	4932.YJR075W	4932.YNL158W	0	0	0	0	0.042	0	0.720	0	0.720
HOC1	PMT4	4932.YJR075W	4932.YJR143C	0	0	0	0	0.104	0	0.720	0.179	0.776
HOC1	PMT3	4932.YJR075W	4932.YOR321W	0	0	0	0	0.050	0	0.900	0.112	0.908
HOC1	VAN1	4932.YJR075W	4932.YML115C	0	0	0	0	0.084	0.207	0.900	0.910	0.992
HOC1	MNN9	4932.YJR075W	4932.YPL050C	0	0	0	0	0.061	0.835	0.900	0.978	0.999
KRE2	PMT2	4932.YDR483W	4932.YAL023C	0	0	0	0	0.077	0	0	0.698	0.709
KRE2	MNN2	4932.YDR483W	4932.YBR015C	0	0.007	0	0	0.083	0	0	0.833	0.840
KRE2	KTR3	4932.YDR483W	4932.YBR205W	0	0	0.074	0.932	0.091	0	0.900	0.101	0.914
KRE2	PMT5	4932.YDR483W	4932.YDL093W	0	0	0	0	0.056	0	0	0.543	0.550
KRE2	MNN10	4932.YDR483W	4932.YDR245W	0	0	0	0	0.077	0	0	0.602	0.617
KRE2	VPS74	4932.YDR483W	4932.YDR372C	0	0	0	0	0.081	0.722	0	0.753	0.931
KRE2	MNS1	4932.YDR483W	4932.YJR131W	0	0	0	0	0	0	0	0.519	0.519
KRE2	MNN11	4932.YDR483W	4932.YJL183W	0	0	0	0	0.045	0	0	0.539	0.540
KRE2	PMT6	4932.YDR483W	4932.YGR199W	0	0	0	0	0.046	0	0	0.540	0.542
KRE2	LAS21	4932.YDR483W	4932.YJL062W	0	0	0	0	0.049	0.445	0	0.294	0.594
KRE2	MNT3	4932.YDR483W	4932.YIL014W	0	0	0	0	0.046	0	0	0.600	0.602
KRE2	MNT4	4932.YDR483W	4932.YNR059W	0	0	0	0	0	0	0	0.604	0.604
KRE2	PMT4	4932.YDR483W	4932.YJR143C	0	0	0	0	0.073	0	0	0.704	0.714
KRE2	MNN4	4932.YDR483W	4932.YKL201C	0	0	0	0	0	0	0	0.756	0.756
KRE2	KTR6	4932.YDR483W	4932.YPL053C	0	0	0.086	0.908	0.073	0.743	0	0.120	0.782
KRE2	MNN5	4932.YDR483W	4932.YJL186W	0	0.006	0	0	0.068	0	0	0.792	0.798
KRE2	VAN1	4932.YDR483W	4932.YML115C	0	0	0	0	0.052	0	0	0.796	0.798
KRE2	MNN1	4932.YDR483W	4932.YER001W	0	0	0	0	0.043	0	0	0.831	0.831
KRE2	OCH1	4932.YDR483W	4932.YGL038C	0	0	0	0	0	0	0	0.836	0.836
KRE2	MNN9	4932.YDR483W	4932.YPL050C	0	0	0	0	0.064	0	0	0.839	0.843
KRE2	KTR1	4932.YDR483W	4932.YOR099W	0	0	0.066	0.948	0.119	0	0.900	0.086	0.914
KTR1	PMT2	4932.YOR099W	4932.YAL023C	0	0	0	0	0.117	0	0	0.417	0.464
KTR1	MNN2	4932.YOR099W	4932.YBR015C	0	0.011	0	0	0.095	0	0	0.730	0.745
KTR1	KTR3	4932.YOR099W	4932.YBR205W	0	0	0.066	0.949	0.082	0	0.900	0.087	0.911
KTR1	PMT5	4932.YOR099W	4932.YDL093W	0	0	0	0	0.094	0	0	0.456	0.486
KTR1	VPS74	4932.YOR099W	4932.YDR372C	0	0	0	0	0.129	0	0	0.442	0.493
KTR1	MNN1	4932.YOR099W	4932.YER001W	0	0	0	0	0.060	0	0	0.471	0.481
KTR1	MNN5	4932.YOR099W	4932.YJL186W	0	0.010	0	0	0.076	0	0	0.698	0.709
KTR1	PMT4	4932.YOR099W	4932.YJR143C	0	0	0	0	0.120	0	0	0.480	0.523
KTR1	VAN1	4932.YOR099W	4932.YML115C	0	0	0	0	0.065	0	0	0.538	0.549
KTR1	MNT4	4932.YOR099W	4932.YNR059W	0	0	0	0	0	0	0	0.441	0.441
KTR1	MNN9	4932.YOR099W	4932.YPL050C	0	0	0	0	0.054	0	0	0.574	0.580
KTR3	MNN2	4932.YBR205W	4932.YBR015C	0	0.009	0	0	0.093	0	0	0.698	0.714
KTR3	VPS74	4932.YBR205W	4932.YDR372C	0	0	0	0	0	0	0	0.416	0.416
KTR3	MNN10	4932.YBR205W	4932.YDR245W	0	0	0	0	0.080	0	0	0.406	0.430
KTR3	MNN11	4932.YBR205W	4932.YJL183W	0	0	0	0	0.081	0	0	0.414	0.438
KTR3	PMT5	4932.YBR205W	4932.YDL093W	0	0	0	0	0.076	0	0	0.432	0.453
KTR3	MNT4	4932.YBR205W	4932.YNR059W	0	0	0	0	0	0	0	0.516	0.516
KTR3	VAN1	4932.YBR205W	4932.YML115C	0	0	0	0	0.055	0.186	0	0.546	0.620
KTR3	OCH1	4932.YBR205W	4932.YGL038C	0	0	0	0	0	0	0	0.695	0.695
KTR3	MNN1	4932.YBR205W	4932.YER001W	0	0	0	0	0.047	0	0	0.697	0.698
KTR3	MNN9	4932.YBR205W	4932.YPL050C	0	0	0	0	0.076	0	0	0.709	0.720
KTR3	MNN5	4932.YBR205W	4932.YJL186W	0	0.008	0	0	0.076	0	0	0.802	0.809
KTR6	MNN2	4932.YPL053C	4932.YBR015C	0	0.002	0	0	0.046	0	0	0.905	0.905
KTR6	MNN10	4932.YPL053C	4932.YDR245W	0	0	0	0	0.088	0	0	0.759	0.770
KTR6	VPS74	4932.YPL053C	4932.YDR372C	0	0	0	0	0.086	0	0	0.597	0.615
KTR6	MNN1	4932.YPL053C	4932.YER001W	0	0	0	0	0.053	0	0.900	0.903	0.990
KTR6	OCH1	4932.YPL053C	4932.YGL038C	0	0	0	0	0	0	0	0.809	0.809
KTR6	MNT3	4932.YPL053C	4932.YIL014W	0	0	0	0	0.065	0	0	0.466	0.479
KTR6	KTR7	4932.YPL053C	4932.YIL085C	0	0	0.203	0.672	0	0	0	0.314	0.430
KTR6	MNN11	4932.YPL053C	4932.YJL183W	0	0	0	0	0.060	0	0	0.694	0.700
KTR6	MNN5	4932.YPL053C	4932.YJL186W	0	0.002	0	0	0.045	0	0.900	0.871	0.986
KTR6	MNN4	4932.YPL053C	4932.YKL201C	0	0	0	0	0	0.292	0	0.944	0.958
KTR6	VAN1	4932.YPL053C	4932.YML115C	0	0	0	0	0.050	0	0	0.698	0.700
KTR6	MNT4	4932.YPL053C	4932.YNR059W	0	0	0	0	0	0	0.900	0.536	0.951
KTR6	MNN9	4932.YPL053C	4932.YPL050C	0	0	0	0	0.086	0	0	0.807	0.816
KTR7	MNN2	4932.YIL085C	4932.YBR015C	0	0.003	0	0	0.060	0	0	0.601	0.608
KTR7	MNT3	4932.YIL085C	4932.YIL014W	0	0	0	0	0.109	0	0	0.488	0.524
KTR7	MNN5	4932.YIL085C	4932.YJL186W	0	0.003	0	0	0.090	0	0	0.483	0.509
KTR7	VAN1	4932.YIL085C	4932.YML115C	0	0	0	0	0.063	0	0	0.510	0.521
KTR7	MNN9	4932.YIL085C	4932.YPL050C	0	0	0	0	0.049	0	0	0.620	0.624
KTR7	MNT4	4932.YIL085C	4932.YNR059W	0	0	0	0	0.050	0	0	0.631	0.634
LAS21	PMT2	4932.YJL062W	4932.YAL023C	0	0	0	0	0.265	0.556	0	0.449	0.804
LAS21	PMT1	4932.YJL062W	4932.YDL095W	0	0	0	0	0.154	0.626	0	0	0.670
LAS21	MNN10	4932.YJL062W	4932.YDR245W	0	0	0	0	0.070	0.141	0	0.347	0.432
LAS21	VPS74	4932.YJL062W	4932.YDR372C	0	0	0	0	0	0.493	0	0.047	0.496
LAS21	PMT4	4932.YJL062W	4932.YJR143C	0	0	0	0	0.187	0.420	0	0.089	0.533
LAS21	OST6	4932.YJL062W	4932.YML019W	0	0	0	0	0.053	0.592	0	0.125	0.632
MNN1	MNN2	4932.YER001W	4932.YBR015C	0	0	0	0	0.072	0	0	0.950	0.951
MNN1	MNN10	4932.YER001W	4932.YDR245W	0	0	0	0	0.070	0	0	0.800	0.806
MNN1	VPS74	4932.YER001W	4932.YDR372C	0	0	0	0	0	0.493	0	0.378	0.671
MNN1	VRG4	4932.YER001W	4932.YGL225W	0	0	0	0	0.086	0	0	0.390	0.418
MNN1	YUR1	4932.YER001W	4932.YJL139C	0	0	0	0	0	0	0	0.539	0.539
MNN1	MNN11	4932.YER001W	4932.YJL183W	0	0	0	0	0.063	0	0	0.698	0.704
MNN1	VAN1	4932.YER001W	4932.YML115C	0	0	0	0	0.060	0	0	0.802	0.806
MNN1	MNN5	4932.YER001W	4932.YJL186W	0	0	0	0	0.057	0	0	0.905	0.906
MNN1	MNN9	4932.YER001W	4932.YPL050C	0	0	0	0	0.065	0	0	0.906	0.909
MNN1	MNN4	4932.YER001W	4932.YKL201C	0	0	0	0	0	0	0	0.914	0.914
MNN1	MNT4	4932.YER001W	4932.YNR059W	0	0	0	0.670	0	0	0.900	0.189	0.915
MNN1	OCH1	4932.YER001W	4932.YGL038C	0	0	0	0	0.044	0.436	0	0.939	0.964
MNN10	PMT2	4932.YDR245W	4932.YAL023C	0	0	0	0	0.066	0.130	0.900	0.434	0.947
MNN10	MNN2	4932.YDR245W	4932.YBR015C	0	0	0	0	0.058	0.096	0.900	0.854	0.985
MNN10	PHO88	4932.YDR245W	4932.YBR106W	0	0	0	0	0.090	0.626	0	0	0.645
MNN10	YCR043C	4932.YDR245W	4932.YCR043C	0	0	0	0	0.077	0.620	0	0	0.634
MNN10	PMT5	4932.YDR245W	4932.YDL093W	0	0	0	0	0.050	0	0.900	0.308	0.928
MNN10	PMT1	4932.YDR245W	4932.YDL095W	0	0	0	0	0.066	0	0.900	0.063	0.904
MNN10	MNS1	4932.YDR245W	4932.YJR131W	0	0	0	0	0	0	0	0.417	0.417
MNN10	MNT3	4932.YDR245W	4932.YIL014W	0	0	0	0	0.063	0	0	0.418	0.431
MNN10	OST6	4932.YDR245W	4932.YML019W	0	0	0	0	0.081	0.162	0	0.357	0.461
MNN10	OLE1	4932.YDR245W	4932.YGL055W	0	0	0	0	0.045	0.567	0	0	0.568
MNN10	MNN4	4932.YDR245W	4932.YKL201C	0	0	0	0	0	0	0	0.697	0.697
MNN10	PGA1	4932.YDR245W	4932.YNL158W	0	0	0	0	0	0	0.720	0	0.720
MNN10	MNN5	4932.YDR245W	4932.YJL186W	0	0	0	0	0.057	0	0	0.762	0.766
MNN10	PMT4	4932.YDR245W	4932.YJR143C	0	0	0	0	0.097	0.075	0.720	0.347	0.826
MNN10	PMT3	4932.YDR245W	4932.YOR321W	0	0	0	0	0	0	0.900	0.248	0.921
MNN10	OCH1	4932.YDR245W	4932.YGL038C	0	0	0.258	0	0.082	0.055	0.540	0.833	0.941
MNN10	VAN1	4932.YDR245W	4932.YML115C	0	0	0.213	0	0.060	0	0.900	0.926	0.993
